Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|Überwiegend männliche Führungskräfte
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Umgang mit älteren Kollegen|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Corona1|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Corona3|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei Fresenius Medical Care in St. Wendel gearbeitet.|Nicht empfohlen|Overall|3.0|Lieber hätte ich nach einem anderem Job weitergesucht
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei Fresenius Medical Care in St. Wendel gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|2|Teilweise katastrophale Zustände. Vorgesetzte welchen alles egal ist, Kollegen welche nichts anderes wie Mobbing kennen. Hauptsache die Stückzahl stimmt. Jeder weiß es, aber keiner unternimmt was dagegen.
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei Fresenius Medical Care in St. Wendel gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|1|Schlimmste Kollegen in meinem ganzen Berufsleben!
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|8|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei Fresenius Medical Care in St. Wendel gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Mobbing und üble Nachrede sind ganz normal und wird von den Vorgesetzten ignoriert, oftmals machen die sogar mit
