Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
106,DIC Asset AG,Sdax,dic-asset1,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
107,DMG MORI AKTIENGESELLSCHAFT,Sdax,dmg-mori-seiki-stuttgart,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
108,Drägerwerk AG & Co. KGaA,Sdax,draeger,Medizintechnik,,Yes,,,,,,,,,,,,,,,,,,,
109,Deutsche Beteiligungs AG,Sdax,deutsche-beteiligungs1,Sonstige Branchen,,Yes,,,,,,,,,,,,,,,,,,,
110,Deutsche EuroShop AG,Sdax,euroshop,Handel,https://www.kununu.com/de/euroshop,Yes,,,,,,,,,,,,,,,,,,,
111,DWS Group GmbH & Co. KGaA,Sdax,dwsgroup,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
112,Eckert & Ziegler Strahlen- und Medizintechnik AG,Sdax,eckert-ziegler1,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
113,Elmos Semiconductor AG,Sdax,elmos-semiconductor1,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
114,Encavis AG,Sdax,encavis2,Energie,,Yes,,,,,,,,,,,,,,,,,,,
115,Fielmann Aktiengesellschaft,Sdax,fielmann,Handel,,Yes,,,,,,,,,,,,,,,,,,,
116,Godewind Immobilien AG,Sdax,godewind-immobilien,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
117,Hamborner REIT AG,Sdax,hamborner-reit,Sonstige Branchen,,Yes,,,,,,,,,,,,,,,,,,,
118,Hamburger Hafen und Logistik Aktiengesellschaft,Sdax,abakus-riesa,Transport/Verkehr/Logistik,,Yes,,,,,,,,,,,,,,,,,,,
119,Hornbach Holding AG & Co. KGaA,Sdax,hornbach-holding-aa,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
120,Hypoport SE,Sdax,hypoportse,Banken,,Yes,,,,,,,,,,,,,,,,,,,
